Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS
UNDER RBI’s AUTOMATIC ROUTE
"307
6",UPGRAD EDUCATION PRIVATE LIMITED,MAHARASHT RA,Mumbai,"OTHER
EDUCATIONAL SERVICES N.E.C.",MacRitchie Investments Pte Ltd,Singapore,"7,391.00",100.88,"Received in
the Company",
"307
7",Upraised Technology Private Limited,MAHARASHT RA,Mumbai,"Other information technology and computer service
activities n.e.c",UPRAISED PTE LTD,Singapore,54.79,0.74,Received in the Company,
"307
8",UPTIMEAI TECH PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,UPTIMEAI INC,U.S.A,30.11,0.40,Received in the Company,
"307
9",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service activities n.e.c,Steadview Capital Opportunities PCC Cell 0221-009,Mauritius,0.27,0.00,Received in the Company,
"308
0",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service,Internet Fund V Pte Limited,Singapore,78.07,1.07,Received in the,
,,,,activities n.e.c,,,,,Company,
"308
1",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,"Other business support service
activities n.e.c",Internet Fund V Pte Limited,Singapore,"1,027.96",14.03,"Received in the
Company",
"308
2",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service activities n.e.c,Steadview Capital Opportunities PCC Cell 0221-009,Mauritius,771.17,10.53,Received in the Company,
"308
3",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service activities n.e.c,Steadview Capital Opportunities PCC Cell 0221-009,Mauritius,58.16,0.79,Received in the Company,
"308
4",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,"Other business
support service activities n.e.c",VYC23 Limited,British Virginia,159.86,2.18,"Received in
the Company",
"308
5",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service activities n.e.c,VYC23 Limited,British Virginia,"2,107.43",28.76,Received in the Company,
"308
6",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,"Other business support service
activities n.e.c",Naspers Ventures B.V.,Netherland,27.09,0.37,"Received in the
Company",
"308
7",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service activities n.e.c,Naspers Ventures B.V.,Netherland,"4,618.23",63.03,Received in the Company,
"308
8",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service activities n.e.c,"DF International Partners V, LLC",Cayman Islands,97.46,1.32,Received in the Company,
"308
9",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,"Other business
support service activities n.e.c","DF International Partners V, LLC",Cayman Islands,"1,285.01",17.47,"Received in
the Company",
"309
0",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,Other business support service activities n.e.c,"DF International Partners II, LLC",Cayman Islands,"1,285.01",17.47,Received in the Company,
"309
1",URBANCLAP TECHNOLOGIES INDIA PRIVATE LIMITED,DELHI,East Delhi,"Other business support service
activities n.e.c","DF International Partners II, LLC",Cayman Islands,97.46,1.32,"Received in the
Company",
"309
2",URBANKISAAN FARMS PRIVATE LIMITED,TELANGANA,Hyderabad,"Other professional, scientific and technical activities
n.e.c.",URBANKISAAN INC.,U.S.A,21.67,0.29,Received in the Company,
"309
3",URBANKISAAN FARMS PRIVATE LIMITED,TELANGANA,Hyderabad,"Other professional, scientific and technical activities
n.e.c.",URBANKISAAN INC.,U.S.A,14.42,0.20,Received in the Company,
"309
4",URJA RENEWABLE ENERGY PRIVATE LIMITED,TELANGANA,Hyderabad,"Electric power generation using other non conventional
sources",FTH Acquisition Corp. VII,U.S.A,300.00,4.03,Received in the Company,
"309
5",URJA RENEWABLE ENERGY PRIVATE LIMITED,TELANGANA,Hyderabad,"Electric power generation using other non
conventional sources",FTH Acquisition Corp. VII,U.S.A,360.00,4.91,Received in the Company,
"309
6",US SALES TAX PRIVATE LIMITED,GUJARAT,Anand,"Other professional, scientific and technical activities n.e.c.",THOMPSON TAX AND ASSOCIATES LLC,U.S.A,0.19,0.00,Received in the Company,
"309
7",Uttam Galva Metallics Limited,HARYANA,Gurgaon,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other
primary forms",CVIC Lux Securities Trading S. a.r.l,Luxembour g,0.00,0.00,Received in the Company,
"309
8",Uttam Galva Metallics Limited,HARYANA,Gurgaon,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other
primary forms",CVI AV Lux Securities S. a.r.l,Luxembour g,0.00,0.00,Received in the Company,
"309
9",Uttam Galva Metallics Limited,HARYANA,Gurgaon,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms",CarVal GCF Lux Securities S. a.r.l,Luxembour g,0.00,0.00,Received in the Company,
"310
0",Uttam Galva Metallics Limited,HARYANA,Gurgaon,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms",CVI AA Lux Securities S. a.r.l.,Luxembour g,0.00,0.00,Received in the Company,
"310
1",Uttam Galva Metallics Limited,HARYANA,Gurgaon,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms",CVI CVF IV Lux Securities S. a.r.l.,Luxembour g,0.00,0.00,Received in the Company,
"310
2",UTTAM VALUE STEELSLIMITED,MAHARASHT RA,Mumbai,"Manufacture of hot- rolled and cold- rolled products of
steel",CVI AV Lux Securities S. a.r.l,Luxembour g,0.00,0.00,Received in the Company,
"310
3",UTTAM VALUE STEELSLIMITED,MAHARASHT RA,Mumbai,"Manufacture of hot- rolled and cold- rolled products of
steel",CVI CVF IV Lux Securities S. a.r.l.,Luxembour g,0.00,0.00,Received in the Company,
"310
4",UTTAM VALUE STEELSLIMITED,MAHARASHT RA,Mumbai,Manufacture of hot- rolled and cold- rolled products of steel,Wardha Steel Holdings Pte Ltd,Singapore,130.00,1.77,Received in the Company,
"310
5",UTTAM VALUE STEELSLIMITED,MAHARASHT RA,Mumbai,Manufacture of hot- rolled and cold-,CarVal GCF Lux Securities S. a.r.l,Luxembour g,0.00,0.00,Received in the,
,,,,rolled products of steel,,,,,Company,
"310
6",UTTAM VALUE STEELSLIMITED,MAHARASHT RA,Mumbai,Manufacture of hot- rolled and cold- rolled products of steel,CVIC Lux Securities Trading S. a.r.l,Luxembour g,0.00,0.00,Received in the Company,
"310
7",UTTAM VALUE STEELSLIMITED,MAHARASHT RA,Mumbai,"Manufacture of hot- rolled and cold- rolled products of
steel",CVI AA Lux Securities S. a.r.l.,Luxembour g,0.00,0.00,Received in the Company,
"310
8",UTU TECHSOLUTIONS PRIVATE LIMITED,MAHARASHT RA,Pune,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",UTU TECHNOLOGIES PTE LTD,Singapore,0.10,0.00,Received in the Company,
"310
9",UTVYAKTA SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Coimbatore,Other information technology and computer service activities n.e.c,ILAD INVEST AB,Sweden,1.24,0.02,Received in the Company,
"311
0",Uvik Technologies Private Limited,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Season Two Ventures Management LLC,U.S.A,35.00,0.47,Received in the Company,
"311
1",UXARMY SOFTWARE PRIVATE LIMITED,RAJASTHAN,Jaipur,"Other information technology and
computer service activities n.e.c",UXARMY PTE LTD,Singapore,0.10,0.00,Received in the Company,
"311
2",V PLAN TECHNOLOGY SERVICES PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,V PLAN INC,Canada,0.10,0.00,Received in the Company,
"311
3",Vadcore Private Limited,MAHARASHT RA,Pune,"Other information technology and
computer service activities n.e.c",VENKATESH ARVIND KULKARNI,United Kingdom,1.00,0.01,Received in the Company,
"311
4",Vadcore Private Limited,MAHARASHT RA,Pune,Other information technology and computer service activities n.e.c,VENKATESH ARVIND KULKARNI,United Kingdom,1.00,0.01,Received in the Company,
"311
5",Vahan Technologies India Pvt. Ltd.,DELHI,South Delhi,"Other data processing, hosting and related activities n.e.c.",Vahan Inc,U.S.A,61.07,0.82,Received in the Company,
"311
6",Vajro India Private Limited,TAMIL NADU,Kanchipuram,"Other information technology and
computer service activities n.e.c",VAJRO INC,U.S.A,4.14,0.06,Received in the Company,
"311
7",VALENCE CHEMICALS PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of basic chemicals,SWATI KOLPURU,U.S.A,4.28,0.06,Received in the Company,
"311
8",VALENCE CHEMICALS PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of basic chemicals,LAVANYA TELUKUNTLA,U.S.A,1.96,0.03,Received in the Company,
"311
9",VALENCE CHEMICALS PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of basic chemicals,KAVITHA MUSTHYALA,U.S.A,1.97,0.03,Received in the Company,
"312
0",VALMONT STRUCTURES PRIVATE LIMITED,MAHARASHT RA,Pune,Manufacture of other structural metal products,Valmont Industries Holland B.V.,Netherland,481.73,6.57,Received in the Company,
"312
1",VALOREM STACK PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Beenext2 PTE Ltd,Singapore,0.01,0.00,Received in the Company,
"312
2",VALOREM STACK PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Elevation Capital VI limited,Mauritius,0.01,0.00,Received in the Company,
"312
3",VALOREM STACK PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Acorn heavy Industries LLC,U.S.A,0.01,0.00,Received in the Company,
"312
4",valtris specialty chemicals india private limited,MAHARASHT RA,Mumbai,Manufacture of chemical elements and compounds doped for use in electronics,VALTRIS SPECIALTY CHEMICALS LIMITED,United Kingdom,3.65,0.05,Received in the Company,
"312
5",VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,ELEVATION CAPITAL VI LIMITED,Mauritius,230.53,3.13,Received in the Company,
"312
6",VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,GC DP Ventures Limited,U.S.A,"1,814.12",24.66,Received in the Company,
"312
7",VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c",TIMF Holdings,Mauritius,180.93,2.46,Received in the Company,
"312
8",VARANASI EMBROIDERIES AND FASHION PRIVATE LIMITED,DELHI,Central Delhi,Wholesale of textile fibres etc.,KEYSTONE INVESTMENT MANAGEMENT LIMITED,British Virginia,2.92,0.04,Received in the Company,
"312
9",Vasudev Adigas Fastfood Private Limited,KARNATAKA,Bengaluru,"Cafeterias, fast-food restaurants and other food
preparation in",South Asia Gastronomy Enterprises LLC,Mauritius,41.98,0.57,Received in the Company,
,,,,market stalls,,,,,,
"313
0",VATIT INDIA SERVICES PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Management consultancy
activities",VATIT GROUP S.A.R.L,Luxembour g,3.00,0.04,"Received in the
Company",
"313
1",Vautid India Private Limited,MAHARASHT RA,Thane,"Repair and maintenance of engines and turbines excluding aircraft, vehicle and
cycle engines",Vautid GMBH,Germany,99.71,1.36,Received in the Company,
"313
2",VAYA LIFE PRIVATE LIMITED,TAMIL NADU,Chennai,"Wholesale of metal, porcelain and glass utensils; crockery
and chinaware",VAYA HOLDINGS PTE LIMITED,Singapore,95.74,1.30,Received in the Company,
"313
3",VAZIR IMMIGRATION SERVICES PRIVATE LIMITED,DELHI,South West Delhi,"Management
consultancy activities",VAZIR HOLDING LIMITED,UAE,1.90,0.03,"Received in
the Company",
"313
4",VB AIRSUSPENSION INDIA PRIVATE LIMITED,MAHARASHT RA,Pune,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, ste",VB EURASIA BV,Netherland,5.20,0.07,Received in the Company,
"313
5",Vee Gee Auto Components Private Limited,HARYANA,Faridabad,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust
pipes, catalysers, clutches, ste",F-Tech Inc,Japan,284.17,3.88,Received in the Company,
"313
6",VEEGLOW INDUSTRIES PRIVATE LIMITED,GUJARAT,Ahmedabad,Manufacture of other plastics products n.e.c.,NISHA SACHIN GANGLANI,UAE,36.30,0.49,Received in the Company,
"313
7",VELVETT HOTELS PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Manufacture of other
bakery products n.e.c.",Praveen kumar Vijh,United Kingdom,4.98,0.07,"Received in
the Company",
313,Vely Monkeys Mkt Private Limited,HARYANA,Gurgaon,Wholesale trade via,"Vely Monkeys Co., Ltd",South,31.78,0.43,Received in,
8,,,,"e-commerce excluding activities
of commission agents",,Korea,,,the Company,
"313
9",Ventana Micro Systems India Private Limited,KARNATAKA,Bengaluru,Computer consultancy and computer facilities management activities,Ventana Micro Systems Inc.,U.S.A,0.10,0.00,Received in the Company,
"314
0",VENTURA INCORPORATED INDIA PRIVATE LIMITED,WEST BENGAL,Kolkata,Wholesale of cereals and pulses,VENTURA INCORPORATED PTE LTD,Singapore,1.00,0.01,Received in the Company,
"314
1",VEPCG India Private Limited,KARNATAKA,Bengaluru,Management consultancy activities,"Vista Consulting Group, LLC",U.S.A,0.01,0.00,Received in the Company,
"314
2",VEPCG India Private Limited,KARNATAKA,Bengaluru,Management consultancy activities,VEPCG Singapore Pte. Ltd.,Singapore,0.00,0.00,Received in the Company,
"314
3",VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","CVC DH LTD, LLC",U.S.A,0.18,0.00,Received in the Company,
"314
4",VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Glade Brook Private Investors XXVII LP,U.S.A,0.18,0.00,Received in the Company,
"314
5",VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Glade Brook Private Investors XXVII LP,U.S.A,"3,067.52",41.87,Received in the Company,
"314
6",VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Sofina Ventures S.A.,Belgium,251.54,3.43,Received in the Company,
"314
7",VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c","CVC DH LTD, LLC",U.S.A,628.14,8.57,Received in the Company,
"314
8",VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",INQ Holding LLC,Qatar,"3,695.84",50.24,Received in the Company,
"314
9",VER SE INNOVATION PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,INQ Holding LLC,Qatar,0.18,0.00,Received in the Company,
"315
0",VERICON CARMITECH PRIVATE LIMITED,WEST BENGAL,North 24 Parganas,Manufacture of other articles n.e.c.,VERITAS CONTROL PTE. LTD.,Singapore,1.50,0.02,Received in the,
,,,,,,,,,Company,
"315
1",VERMEIREN INDIA REHAB PRIVATE LIMITED,ANDHRA PRADESH,Chittoor,"Manufacture of medical, surgical, dental or veterinary furniture such as operating tables,examination tables, dentists chairs etc.",Vermeiren Group NV,Belgium,18.30,0.25,Greenfield,
"315
2",VIBGYOR CHEMDYE PRIVATE LIMITED,DELHI,North West Delhi,Retail sale via e- commerce,HYATTI INVESTMENT COMPANY,Saudi Arabia,0.75,0.01,Received in the Company,
"315
3",VIBRANT INFRASTRUCTURE PRIVATE LIMITED,TELANGANA,Hyderabad,Construction of buildings carried out on own-account basis or on a fee or contract basis,VIJAY KUMAR NALAMADA,U.S.A,48.14,0.65,Received in the Company,
"315
4",VIBRANT INFRASTRUCTURE PRIVATE LIMITED,TELANGANA,Hyderabad,"Construction of buildings carried out on own-account
basis or on a fee or contract basis",NALAMADA VIJAY KUMAR,U.S.A,21.69,0.29,Received in the Company,
"315
5",VIBRANT INFRASTRUCTURE PRIVATE LIMITED,TELANGANA,Hyderabad,"Construction of buildings carried out on own-account
basis or on a fee or contract basis",Chandrapu Tirupathi Reddy,U.S.A,25.81,0.35,Received in the Company,
"315
6",VIBRANT INFRASTRUCTURE PRIVATE LIMITED,TELANGANA,Hyderabad,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",Kishore Kumar Ganji,U.S.A,30.00,0.41,Received in the Company,
"315
7",VICTORINOX INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of watches, clocks and optical goods",VICTORINOX AG,Switzerland,3.44,0.05,Received in the Company,
"315
8",VICTORINOX INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of watches, clocks and
optical goods",VICTORINOX AG,Switzerland,6.87,0.09,"Received in the
Company",
"315
9",VICTORINOX INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of
watches, clocks and optical goods",VICTORINOX AG,Switzerland,3.41,0.05,"Received in
the Company",
"316
0",VICTORINOX INDIA PRIVATE LIMITED,MAHARASHT RA,Mumbai,"Wholesale of watches, clocks and optical goods",VICTORINOX AG,Switzerland,7.00,0.10,Received in the Company,
"316
1",VIDYAKUL LEARNING SPACE PRIVATE LIMITED,HARYANA,Gurgaon,"OTHER
EDUCATIONAL SERVICES N.E.C.",SOSV IV LLC,U.S.A,3.11,0.04,"Received in
the Company",
316,VINCULUM SOLUTIONS PRIVATE,DELHI,South Delhi,"Writing, modifying,",ANSHU GUPTA REVOCABLE,U.S.A,33.32,0.45,Received in,
2,LIMITED,,,"testing of computer program to meet the needs of a particular client excluding
web-page designing",TRUST,,,,the Company,
"316
3",VINFORMAX DIMENSIONS TECHNOLOGY PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",Vinformax Systems Limited,United Kingdom,0.08,0.00,Received in the Company,
